,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Effect,,Acini (zoa+lumen+cytes),,,,% Spermatozoa,,,,% Spermatocytes,,,,% Lumen,,
,,,,,,,,,,,,,,,,
,,,,,,,,Two-way ANOVA,,,,,,,,
,,,,,,,,,,,,,,,,
,df,F,P,,df,F,P,,df,F,P,,df,F,P,
,,,,,,,,,,,,,,,,
time,"1,18",3.987,0.061,,"1,18",6.537,0.020,,"1,18",3.767,0.068,,"1,18",0.462,0.505,
treatment,"1,18",0.837,0.372,,"1,18",0.212,0.650,,"1,18",0.025,0.876,,"1,18",1.356,0.260,
treatment × time,"1,18",0.018,0.895,,"1,18",0.526,0.478,,"1,18",0.625,0.439,,"1,18",0.641,0.434,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
